Unnamed: 0,x,y
222448,931.664339229564,591.0
222449,931.668548710882,626.0
222450,931.6706534515409,547.0
222451,931.674862932859,500.0
222452,931.6790724141767,470.0
222453,931.6832818954947,612.0
222454,931.6853866361536,727.0
222455,931.6895961174716,752.0
222456,931.6938055987894,649.0
222457,931.6980150801073,608.0
222458,931.7001198207664,406.0
222459,931.7022245614253,161.0
222460,931.7043293020844,583.0
222461,931.708538783402,512.0
222462,931.7127482647198,512.0
222463,931.716957746038,539.0
222464,931.7190624866968,553.0
222465,931.7232719680147,687.0
222466,931.7274814493326,614.0
222467,931.7316909306503,632.0
222468,931.7337956713096,639.0
222469,931.7380051526272,631.0
222470,931.7422146339453,696.0
222471,931.7464241152633,683.0
222472,931.7506335965812,639.0
222473,931.75273833724,591.0
222474,931.7569478185577,669.0
222475,931.7611572998758,559.0
222476,931.7653667811937,568.0
222477,931.7674715218524,568.0
222478,931.7716810031703,676.0
222479,931.7758904844884,649.0
222480,931.7800999658065,674.0
222481,931.7822047064653,674.0
222482,931.7864141877832,839.0
222483,931.7906236691009,746.0
222484,931.794833150419,617.0
222485,931.7990426317367,592.0
222486,931.8011473723956,667.0
222487,931.8053568537136,771.0
222488,931.8095663350316,927.0
222489,931.8137758163492,864.0
222490,931.8158805570083,871.0
222491,931.8200900383264,897.0
222492,931.8242995196443,995.0
222493,931.8285090009621,871.0
222494,931.8306137416208,640.0
222495,931.8327184822799,253.0
222496,931.8348232229387,810.0
222497,931.8390327042567,744.0
222498,931.8432421855747,637.0
222499,931.8474516668924,601.0
222500,931.8495564075516,529.0
222501,931.8537658888696,579.0
222502,931.8579753701872,590.0
222503,931.8621848515053,599.0
222504,931.864289592164,728.0
222505,931.8684990734821,789.0
222506,931.8727085547998,737.0
222507,931.8769180361177,797.0
222508,931.8811275174356,642.0
222509,931.8832322580948,546.0
222510,931.8874417394123,561.0
222511,931.8916512207304,687.0
222512,931.8958607020484,748.0
222513,931.8979654427072,639.0
222514,931.9021749240253,593.0
222515,931.906384405343,843.0
222516,931.9105938866611,838.0
222517,931.91269862732,915.0
222518,931.9169081086377,813.0
222519,931.9211175899555,845.0
222520,931.9253270712736,1007.0
222521,931.9295365525916,1012.0
222522,931.9316412932504,1104.0
222523,931.9358507745683,1039.0
222524,931.9400602558862,862.0
222525,931.9442697372043,810.0
222526,931.9463744778631,704.0
222527,931.9505839591808,711.0
222528,931.9547934404989,696.0
222529,931.9590029218167,797.0
222530,931.9611076624756,144.0
222531,931.9632124031343,647.0
222532,931.9653171437936,790.0
222533,931.9695266251117,627.0
222534,931.9737361064294,721.0
222535,931.9779455877472,776.0
222536,931.9800503284063,845.0
222537,931.984259809724,829.0
222538,931.9884692910421,712.0
222539,931.9926787723598,899.0
222540,931.9947835130188,1257.0
222541,931.9989929943367,1085.0
222542,932.0032024756548,862.0
222543,932.0074119569723,681.0
222544,932.0116214382904,751.0
222545,932.0137261789495,773.0
222546,932.0179356602672,795.0
222547,932.0221451415849,670.0
222548,932.026354622903,615.0
222549,932.028459363562,542.0
222550,932.03266884488,620.0
222551,932.0368783261977,546.0
222552,932.0410878075155,520.0
222553,932.0431925481746,471.0
222554,932.0474020294927,582.0
222555,932.0516115108104,554.0
222556,932.0558209921282,721.0
222557,932.0600304734462,717.0
222558,932.0621352141052,654.0
222559,932.0663446954228,575.0
222560,932.0705541767408,554.0
222561,932.0747636580588,510.0
222562,932.0768683987178,493.0
222563,932.0810778800355,471.0
222564,932.0852873613536,423.0
222565,932.0894968426717,460.0
222566,932.0937063239894,562.0
222567,932.0958110646483,588.0
222568,932.100020545966,629.0
222569,932.104230027284,541.0
222570,932.108439508602,496.0
222571,932.1105442492607,431.0
222572,932.1147537305787,510.0
222573,932.1189632118968,560.0
222574,932.1231726932148,727.0
222575,932.1252774338734,746.0
222576,932.1294869151914,722.0
222577,932.1336963965092,536.0
