Unnamed: 0,x,y
222006,940.9246138059146,1066.0
222007,940.9288249320253,1026.0
222008,940.9309304950804,896.0
222009,940.935141621191,846.0
222010,940.9393527473017,822.0
222011,940.943563873412,716.0
222012,940.9477749995226,661.0
222013,940.9498805625778,626.0
222014,940.9540916886883,766.0
222015,940.9583028147987,800.0
222016,940.9625139409096,885.0
222017,940.9646195039647,834.0
222018,940.9688306300752,839.0
222019,940.9730417561858,725.0
222020,940.9772528822964,779.0
222021,940.981464008407,827.0
222022,940.9835695714622,903.0
222023,940.9877806975728,715.0
222024,940.9919918236833,511.0
222025,940.996202949794,544.0
222026,940.9983085128492,604.0
222027,941.0025196389597,713.0
222028,941.0067307650702,884.0
222029,941.0109418911808,884.0
222030,941.0151530172913,885.0
222031,941.0172585803464,823.0
222032,941.0214697064572,1127.0
222033,941.0256808325676,1207.0
222034,941.0298919586779,1158.0
222035,941.0319975217335,747.0
222036,941.036208647844,669.0
222037,941.0404197739546,742.0
222038,941.044630900065,779.0
222039,941.0488420261756,753.0
222040,941.0509475892308,663.0
222041,941.0551587153417,669.0
222042,941.059369841452,795.0
222043,941.0635809675624,747.0
222044,941.0656865306177,566.0
222045,941.0698976567284,349.0
222046,941.0741087828387,421.0
222047,941.0783199089494,424.0
222048,941.08253103506,471.0
222049,941.0846365981153,583.0
222050,941.0888477242256,794.0
222051,941.0930588503363,827.0
222052,941.0972699764467,754.0
222053,941.1014811025574,744.0
222054,941.1035866656126,715.0
222055,941.1077977917232,632.0
222056,941.1120089178336,552.0
222057,941.1162200439444,464.0
222058,941.1183256069996,614.0
222059,941.12253673311,875.0
222060,941.1267478592206,968.0
222061,941.1309589853313,844.0
222062,941.1351701114418,796.0
222063,941.1372756744971,835.0
222064,941.1414868006076,922.0
222065,941.145697926718,839.0
222066,941.1499090528287,794.0
222067,941.1520146158839,647.0
222068,941.1562257419944,656.0
222069,941.160436868105,803.0
222070,941.1646479942157,923.0
222071,941.1688591203259,862.0
222072,941.1709646833812,774.0
222073,941.1751758094921,712.0
222074,941.1793869356025,920.0
222075,941.1835980617128,898.0
222076,941.1857036247682,775.0
222077,941.1899147508788,673.0
222078,941.1941258769892,618.0
222079,941.1983370030998,673.0
222080,941.2025481292104,594.0
222081,941.2046536922657,526.0
222082,941.2088648183764,549.0
222083,941.2130759444867,598.0
222084,941.2172870705972,720.0
222085,941.2193926336523,659.0
222086,941.2236037597631,589.0
222087,941.2278148858736,455.0
222088,941.2320260119842,448.0
222089,941.2362371380948,380.0
222090,941.23834270115,454.0
222091,941.2425538272604,561.0
222092,941.2467649533713,599.0
222093,941.2509760794817,556.0
222094,941.2530816425368,456.0
222095,941.2572927686473,451.0
222096,941.261503894758,496.0
222097,941.2657150208684,470.0
222098,941.2699261469792,627.0
222099,941.2720317100343,673.0
222100,941.2762428361447,617.0
222101,941.2804539622554,556.0
222102,941.284665088366,588.0
222103,941.2888762144763,582.0
222104,941.2909817775318,601.0
222105,941.2951929036424,651.0
222106,941.2994040297528,797.0
222107,941.3036151558632,823.0
222108,941.3057207189188,855.0
222109,941.3099318450293,838.0
222110,941.3141429711396,782.0
222111,941.3183540972502,739.0
222112,941.3225652233607,684.0
222113,941.324670786416,570.0
222114,941.3288819125265,565.0
222115,941.3330930386372,498.0
222116,941.3373041647476,634.0
222117,941.3394097278031,844.0
222118,941.3436208539135,846.0
222119,941.347831980024,681.0
222120,941.3520431061346,735.0
222121,941.3562542322452,837.0
222122,941.3583597953004,816.0
222123,941.362570921411,503.0
222124,941.3667820475217,456.0
222125,941.3709931736321,467.0
222126,941.3730987366873,479.0
222127,941.377309862798,565.0
222128,941.3815209889084,754.0
222129,941.3857321150191,793.0
222130,941.3899432411296,768.0
222131,941.3920488041847,707.0
222132,941.3962599302953,641.0
222133,941.400471056406,519.0
222134,941.4046821825164,415.0
222135,941.4067877455716,392.0
222136,941.4109988716823,411.0
222137,941.4152099977928,536.0
222138,941.4194211239032,515.0
222139,941.4236322500137,395.0
222140,941.4257378130693,423.0
222141,941.4299489391797,535.0
222142,941.43416006529,545.0
222143,941.4383711914007,548.0
222144,941.440476754456,575.0
222145,941.4446878805666,577.0
222146,941.4488990066769,698.0
222147,941.4531101327876,650.0
222148,941.457321258898,670.0
222149,941.4594268219536,592.0
222150,941.4636379480639,518.0
222151,941.4678490741743,440.0
222152,941.472060200285,379.0
222153,941.4741657633404,102.0
222154,941.4762713263956,447.0
222155,941.4783768585482,418.0
222156,941.4825879228534,464.0
